Time,1F-Used,1F-Left,1F-delta,1F-%,2F-Used,2F-Left,2F-delta,2F-%,3F-Used,3F-Left,3F-delta,3F-%,4F-Used,4F-Left,4F-delta,4F-%,5F-Used,5F-Left,5F-delta,5F-%,6F-Used,6F-Left,6F-delta,6F-%
08:16:51,1,35,,35,14,308,,22,41,400,,9.756097561,40,332,,8.3,11,338,,30.72727273,6,50,,8.333333333
08:32:13,2,34,1,17,29,293,15,10.10344828,53,388,12,7.320754717,54,318,14,5.888888889,19,330,8,17.36842105,13,43,7,3.307692308
08:47:31,3,33,1,11,54,268,25,4.962962963,77,364,24,4.727272727,66,306,12,4.636363636,34,315,15,9.264705882,22,34,9,1.545454545
09:02:54,4,32,1,8,66,256,12,3.878787879,90,351,13,3.9,82,290,16,3.536585366,46,303,12,6.586956522,28,28,6,1
09:18:14,9,27,5,3,82,240,16,2.926829268,104,337,14,3.240384615,95,277,13,2.915789474,63,286,17,4.53968254,31,25,3,0.806451613
09:33:34,9,27,0,3,94,228,12,2.425531915,123,318,19,2.585365854,111,261,16,2.351351351,84,265,21,3.154761905,36,20,5,0.555555556
09:48:55,10,26,1,2.6,113,209,19,1.849557522,130,311,7,2.392307692,120,252,9,2.1,104,245,20,2.355769231,38,18,2,0.473684211
10:04:16,13,23,3,1.769230769,122,200,9,1.639344262,142,299,12,2.105633803,131,241,11,1.839694656,115,234,11,2.034782609,39,17,1,0.435897436
10:19:36,13,23,0,1.769230769,138,184,16,1.333333333,160,281,18,1.75625,140,232,9,1.657142857,125,224,10,1.792,41,15,2,0.365853659
10:34:57,13,23,0,1.769230769,149,173,11,1.161073826,167,274,7,1.640718563,146,226,6,1.547945205,135,214,10,1.585185185,44,12,3,0.272727273
10:50:48,15,21,2,1.4,159,163,10,1.025157233,171,270,4,1.578947368,149,223,3,1.496644295,149,200,14,1.342281879,51,5,7,0.098039216
11:06:09,15,21,0,1.4,160,162,1,1.0125,171,270,0,1.578947368,152,220,3,1.447368421,155,194,6,1.251612903,52,4,1,0.076923077
11:21:30,10,26,-5,2.6,155,167,-5,1.077419355,170,271,-1,1.594117647,153,219,1,1.431372549,154,195,-1,1.266233766,52,4,0,0.076923077
11:36:51,8,28,-2,3.5,155,167,0,1.077419355,171,270,1,1.578947368,151,221,-2,1.463576159,149,200,-5,1.342281879,50,6,-2,0.12
11:52:12,8,28,0,3.5,151,171,-4,1.132450331,183,258,12,1.409836066,152,220,1,1.447368421,150,199,1,1.326666667,50,6,0,0.12
12:07:33,7,29,-1,4.142857143,158,164,7,1.037974684,184,257,1,1.39673913,153,219,1,1.431372549,157,192,7,1.222929936,51,5,1,0.098039216
12:22:54,8,28,1,3.5,174,148,16,0.850574713,186,255,2,1.370967742,155,217,2,1.4,169,180,12,1.065088757,53,3,2,0.056603774
12:38:15,10,26,2,2.6,191,131,17,0.685863874,198,243,12,1.227272727,164,208,9,1.268292683,174,175,5,1.005747126,56,0,3,0
12:53:37,11,25,1,2.272727273,195,127,4,0.651282051,204,237,6,1.161764706,167,205,3,1.22754491,179,170,5,0.94972067,56,0,0,0
13:08:58,14,22,3,1.571428571,204,118,9,0.578431373,215,226,11,1.051162791,180,192,13,1.066666667,187,162,8,0.86631016,56,0,0,0
13:24:20,14,22,0,1.571428571,213,109,9,0.511737089,234,207,19,0.884615385,191,181,11,0.947643979,196,153,9,0.780612245,56,0,0,0
13:39:42,15,21,1,1.4,227,95,14,0.418502203,243,198,9,0.814814815,198,174,7,0.878787879,212,137,16,0.646226415,56,0,0,0
13:55:03,15,21,0,1.4,238,84,11,0.352941176,254,187,11,0.736220472,209,163,11,0.779904306,230,119,18,0.517391304,55,1,-1,0.018181818
14:10:25,17,19,2,1.117647059,238,84,0,0.352941176,263,178,9,0.676806084,212,160,3,0.754716981,233,116,3,0.497854077,56,0,1,0
14:25:46,19,17,2,0.894736842,240,82,2,0.341666667,266,175,3,0.657894737,220,152,8,0.690909091,240,109,7,0.454166667,55,1,-1,0.018181818
14:41:07,22,14,3,0.636363636,247,75,7,0.303643725,269,172,3,0.639405204,219,153,-1,0.698630137,246,103,6,0.418699187,56,0,1,0
14:56:28,24,12,2,0.5,251,71,4,0.282868526,278,163,9,0.586330935,229,143,10,0.624454148,252,97,6,0.384920635,56,0,0,0
15:11:49,22,14,-2,0.636363636,251,71,0,0.282868526,266,175,-12,0.657894737,231,141,2,0.61038961,256,93,4,0.36328125,56,0,0,0
15:27:10,21,15,-1,0.714285714,255,67,4,0.262745098,273,168,7,0.615384615,231,141,0,0.61038961,265,84,9,0.316981132,56,0,0,0
15:42:31,23,13,2,0.565217391,257,65,2,0.252918288,276,165,3,0.597826087,236,136,5,0.576271186,265,84,0,0.316981132,56,0,0,0
15:57:51,23,13,0,0.565217391,259,63,2,0.243243243,283,158,7,0.558303887,239,133,3,0.556485356,265,84,0,0.316981132,56,0,0,0
16:13:11,22,14,-1,0.636363636,259,63,0,0.243243243,286,155,3,0.541958042,234,138,-5,0.58974359,255,94,-10,0.368627451,56,0,0,0
16:28:32,21,15,-1,0.714285714,251,71,-8,0.282868526,282,159,-4,0.563829787,232,140,-2,0.603448276,251,98,-4,0.390438247,55,1,-1,0.018181818
16:43:52,20,16,-1,0.8,244,78,-7,0.319672131,271,170,-11,0.627306273,229,143,-3,0.624454148,241,108,-10,0.44813278,55,1,0,0.018181818
16:59:13,19,17,-1,0.894736842,235,87,-9,0.370212766,251,190,-20,0.756972112,223,149,-6,0.668161435,232,117,-9,0.504310345,54,2,-1,0.037037037
17:14:34,13,23,-6,1.769230769,230,92,-5,0.4,242,199,-9,0.82231405,206,166,-17,0.805825243,224,125,-8,0.558035714,53,3,-1,0.056603774
17:29:55,12,24,-1,2,221,101,-9,0.457013575,242,199,0,0.82231405,205,167,-1,0.814634146,213,136,-11,0.638497653,53,3,0,0.056603774
17:45:16,12,24,0,2,217,105,-4,0.483870968,232,209,-10,0.900862069,201,171,-4,0.850746269,211,138,-2,0.654028436,55,1,2,0.018181818
18:00:36,13,23,1,1.769230769,217,105,0,0.483870968,227,214,-5,0.942731278,198,174,-3,0.878787879,208,141,-3,0.677884615,56,0,1,0
18:15:57,14,22,1,1.571428571,219,103,2,0.470319635,229,212,2,0.925764192,197,175,-1,0.888324873,205,144,-3,0.702439024,53,3,-3,0.056603774
18:31:17,15,21,1,1.4,218,104,-1,0.47706422,237,204,8,0.860759494,198,174,1,0.878787879,207,142,2,0.685990338,54,2,1,0.037037037
18:46:38,15,21,0,1.4,227,95,9,0.418502203,244,197,7,0.807377049,210,162,12,0.771428571,211,138,4,0.654028436,54,2,0,0.037037037
19:01:58,13,23,-2,1.769230769,235,87,8,0.370212766,250,191,6,0.764,205,167,-5,0.814634146,214,135,3,0.630841121,54,2,0,0.037037037
19:17:19,11,25,-2,2.272727273,233,89,-2,0.381974249,218,223,-32,1.02293578,208,164,3,0.788461538,219,130,5,0.593607306,54,2,0,0.037037037
19:32:40,11,25,0,2.272727273,226,96,-7,0.424778761,218,223,0,1.02293578,207,165,-1,0.797101449,218,131,-1,0.600917431,53,3,-1,0.056603774
19:48:01,10,26,-1,2.6,223,99,-3,0.443946188,229,212,11,0.925764192,208,164,1,0.788461538,220,129,2,0.586363636,53,3,0,0.056603774
20:03:23,9,27,-1,3,214,108,-9,0.504672897,227,214,-2,0.942731278,210,162,2,0.771428571,218,131,-2,0.600917431,52,4,-1,0.076923077
20:18:43,9,27,0,3,205,117,-9,0.570731707,222,219,-5,0.986486486,204,168,-6,0.823529412,216,133,-2,0.615740741,51,5,-1,0.098039216
20:34:04,8,28,-1,3.5,202,120,-3,0.594059406,223,218,1,0.977578475,202,170,-2,0.841584158,215,134,-1,0.623255814,51,5,0,0.098039216
20:49:25,7,29,-1,4.142857143,194,128,-8,0.659793814,218,223,-5,1.02293578,193,179,-9,0.92746114,212,137,-3,0.646226415,47,9,-4,0.191489362
